,model,R2,rmse,mse,mae,mape
0,CNN,0.957423351157916,1844.6512862102068,3402738.3677169704,958.95703125,0.05485545583702704
0,GRU,0.979418909308765,1282.5158303133655,1644846.8550043814,831.29296875,0.04265857103373649
0,LSTM,0.9726518969288315,1478.4006513075356,2185668.4857865456,890.431640625,0.04671962955787084
0,CNN_GRU,0.9794629427071317,1281.14311955527,1641327.6927838086,707.98828125,0.038342245463443794
0,CNN_LSTM,0.9816622061737811,1210.603942702149,1465561.9060859878,614.88671875,0.03462864655771535
